name,primary_category,subcategory,address,phone,website,rating,reviews_count,status,district,notes,source_url,source_type
Фаворит-Тех,Автосервис,Автосервис,"ул. Ленина, 80/1",+7 926 350-22-38,,4.8,,active,,,https://yandex.ru/maps/org/favorit_tekh/137923227690/,Yandex Maps
Алкон,Автосервис,Автосервис,"1-й Подгорный проезд, 3",,,,,active,,"Хорошее место, телефон скрыт",https://yandex.ru/maps/org/alkon/1317008706/,Yandex Maps
Еврокар,Автосервис,Автосервис/запчасти/шиномонтаж,"ул. Совхозная, 61",+7 926 232-44-00,,,,active,,"Доп. точка: ул. Ленина, 100, +7 926 718-36-35",https://www.plan1.ru/orehovo-zuevo/avto/avtoservisyi/evrokar-220021/,Plan1
Автодоктор+,Автосервис,Автосервис,"ул. Ленина, 84",,,,,active,,"Хорошее место, телефон скрыт",https://yandex.ru/maps/org/avtodoktor_/108450056147/,Yandex Maps
Точка Ремонта,Автосервис,Автосервис,"ул. Галочкина, 19А",+7 958 683-41-44,,,,active,,"Двигатель, КПП, диагностика, сварка, заказ запчастей",https://www.plan1.ru/orehovo-zuevo/avto/avtoservisyi/tochka-remonta-230054/,Plan1
Лидер,Автосервис,Автосервис,"ул. Ленина, 78",+7 916 099-69-96,,,,active,,,https://www.plan1.ru/orehovo-zuevo/avto/avtoservisyi/lider/,Plan1
Иванор,Автоэлектрика,Ремонт автоэлектрики,"ул. Дзержинского, 34, стр. 1",,,,,active,,Также фигурирует в развал-схождении,https://orehovo-zuevo.jsprav.ru/avtoelektriki/,Jsprav
Gt Garag,Автоэлектрика,Ремонт автоэлектрики,"Малодубенское ш., 3, стр. 7",,,5.0,1,active,,,https://orehovo-zuevo.jsprav.ru/avtoelektriki/,Jsprav
Вираж,Автосервис,Автоэлектрика/сход-развал,"ул. Бабушкина, вл2А",,,4.7,409,active,,Есть развал-схождение; в Jsprav есть негативные отзывы по автоэлектрике,https://yandex.ru/maps/org/virazh/1174803774/,Yandex Maps
Надежда,Автоэлектрика,Ремонт электрики авто,"ул. Иванова, 4В",,,5.0,2,active,,,https://orehovo-zuevo.jsprav.ru/avtoelektriki/,Jsprav
Авто-psa,Автоэлектрика,Ремонт автоэлектрики,"ул. Кирова, 54А",,,5.0,1,active,,,https://orehovo-zuevo.jsprav.ru/avtoelektriki/,Jsprav
Truck service,Автоэлектрика,Грузовые автоэлектрики,"Малодубенское ш., 6",,,,,active,,Грузовой сегмент,https://orehovo-zuevo.jsprav.ru/gruzovye-avtoelektriki/,Jsprav
Шиномонтаж,Шиномонтаж,Шиномонтаж,"ул. Ленина, 97",+7 919 102-77-90,,,16,active,,,https://yandex.ru/maps/org/shinomontazh/1232799122/,Yandex Maps
Шиномонтаж,Шиномонтаж,Шиномонтаж,"ул. Матросова, 98А",+7 916 362-97-76,,,,active,,,https://yandex.ru/maps/org/shinomontazh/137084610787/,Yandex Maps
Шиномонтаж,Шиномонтаж,Шиномонтаж,"ул. Дзержинского, 17",+7 977 462-45-83,,,13,active,,,https://yandex.ru/maps/org/shinomontazh/26928266782/,Yandex Maps
Шиномонтаж,Шиномонтаж,Шиномонтаж,"Малодубенское ш., 1",+7 925 703-76-21,,,,active,,,https://yandex.ru/maps/org/shinomontazh/184333668962/,Yandex Maps
Шиномонтаж,Шиномонтаж,Шиномонтаж,"ул. 1905 года, 10",+7 926 377-95-55,,,,active,,,https://yandex.ru/maps/org/shinomontazh/159528735382/,Yandex Maps
Шиномонтаж,Шиномонтаж,Шиномонтаж,"Набережная ул., 17А",,,,,closed,,В Яндекс Картах помечен как больше не работает,https://yandex.ru/maps/org/shinomontazh/92604395079/,Yandex Maps
Сход/развал у Владимира,Шиномонтаж,Развал-схождение,46К-5061,+7 962 962-05-66,,5.0,222,active,,Специализация — развал/схождение,https://yandex.ru/maps/org/skhod_razval_u_vladimira/215860195408/,Yandex Maps
Topcar,Детейлинг,Детейлинг,"Комиссариатский тупик, 2",,,,,active,,"Хорошее место, есть запись",https://yandex.ru/maps/org/topcar/181561449510/,Yandex Maps
Autolab,Детейлинг,Детейлинг,"ул. Ленина, 80/1",,,,,active,,"Глубокая очистка, полировка, защита, оклейка",https://yandex.ru/maps/org/autolab/113311639769/,Yandex Maps
АвтомэйджикОЗ,Детейлинг,Детейлинг,"ул. Ленина, 80/1",+7 977 579-18-21,,,,active,,Хорошее место,https://yandex.ru/maps/org/avtomeydzhikoz/102701842887/,Yandex Maps
Art Detailing,Детейлинг,Детейлинг,"ул. Ленина, 80/1",+7 916 137-14-31,,,,active,,Хорошее место,https://yandex.ru/maps/org/art_detailing/122278154093/,Yandex Maps
Estet-House,Детейлинг,Детейлинг,"Юбилейный проезд, 4А",+7 916 447-51-07,,,9,active,,,https://yandex.ru/maps/org/estet_house/161850460122/,Yandex Maps
Autospectr,Детейлинг,Детейлинг,"Малодубенское шоссе, 30, стр. 3",+7 985 192-46-87,,,2,active,,,https://yandex.ru/maps/org/autospectr/8544451268/,Yandex Maps
S&m,Детейлинг,Детейлинг,"гаражный кооператив Заря, с477",,,,,active,,,https://yandex.ru/maps/org/s_m/153335136849/,Yandex Maps
Oz-parts.ru,Автозапчасти,Магазин автозапчастей,"ул. Ленина, 50А, этаж 2",+7 916 314-11-00,https://oz-parts.ru,4.4,97,active,,Запчасти для иномарок,https://yandex.ru/maps/org/oz_parts_ru/77990858059/,Yandex Maps
Exist.ru,Автозапчасти,Магазин автозапчастей,"ул. Ленина, 67",+7 495 150-54-05,,,,active,,,https://yandex.ru/maps/org/exist_ru/4959912180/,Yandex Maps
Автодовод,Автозапчасти,Магазин автозапчастей,"ул. Ленина, 102А",+7 916 855-60-77,,,11,active,,,https://yandex.ru/maps/org/avtokhoum/221981963070/,Yandex Maps
Автозапчасти,Автозапчасти,Магазин автозапчастей,"ул. Совхозная, 61",+7 963 991-17-58,,,,active,,,https://yandex.ru/maps/org/avtozapchasti/1286869467/,Yandex Maps
Koreana,Автозапчасти,Магазин автозапчастей,"Мадонская ул., 2",,,4.7,185,active,Мадонская,Акция на комбо-наборы для ТО,https://yandex.ru/maps/10745/orehovo-zuevo/category/auto_parts_and_auto_goods_store/184105320/,Yandex Maps category
Kitayana,Автозапчасти,Магазин автозапчастей,"Мадонская ул., 2",,,4.9,26,active,Мадонская,Специализация на китайских авто,https://yandex.ru/maps/10745/orehovo-zuevo/category/auto_parts_and_auto_goods_store/184105320/,Yandex Maps category
Росско,Автозапчасти,Магазин автозапчастей,"ул. Ленина, 80",,,,32,active,,,https://yandex.ru/maps/10745/orehovo-zuevo/category/auto_parts_and_auto_goods_store/184105320/,Yandex Maps category
Мир автозапчастей,Автозапчасти,Магазин автозапчастей,"ул. Стачки 1885 года, 2",,,,131,active,,,https://yandex.ru/maps/10745/orehovo-zuevo/search/%D0%97%D0%B0%D0%BF%D1%87%D0%B0%D1%81%D1%82%D0%B8%20%D0%B4%D0%BB%D1%8F%20%D0%B8%D0%BD%D0%BE%D0%BC%D0%B0%D1%80%D0%BE%D0%BA/,Yandex Maps search
A. K. Detal,Автозапчасти,Магазин автозапчастей,"2-й проезд Дзержинского, 6",,,,,active,,,https://yandex.ru/maps/org/a_k_detal/232878477734/,Yandex Maps
Контур СДМ,Автозапчасти,Магазин автозапчастей,"Ликинское ш., 3А",,,,,active,,,https://yandex.ru/maps/10745/orehovo-zuevo/search/%D0%90%D0%B2%D1%82%D0%BE%20%D0%B7%D0%B0%D0%BF%D1%87%D0%B0%D1%81%D1%82%D0%B8/?page=2,Yandex Maps search
Автозапчасти,Автозапчасти,Магазин автозапчастей,"ул. Урицкого, 79",,,,,active,,,https://yandex.ru/maps/10745/orehovo-zuevo/search/%D0%90%D0%B2%D1%82%D0%BE%20%D0%B7%D0%B0%D0%BF%D1%87%D0%B0%D1%81%D1%82%D0%B8/?page=2,Yandex Maps search
